Data;7481 - Cesta básica - Belo Horizonte - u.m.c.;7491 - Cesta básica - Rio de Janeiro - u.m.c.;7493 - Cesta básica - São Paulo - u.m.c.;7494 - Cesta básica - Vitória - u.m.c.
04/2017;397,36 ;448,51 ;446,28 ;431,54
05/2017;390,60 ;442,56 ;458,93 ;422,03
06/2017;374,87 ;420,35 ;441,61 ;404,54
07/2017;383,69 ;425,62 ;445,83 ;409,51
08/2017;365,05 ;410,43 ;431,66 ;397,89
09/2017;361,82 ;410,27 ;421,02 ;391,76
10/2017;365,89 ;421,05 ;428,13 ;393,71
11/2017;359,71 ;407,37 ;423,23 ;387,93
12/2017;361,61 ;418,71 ;424,36 ;385,19
01/2018;380,02 ;443,81 ;439,20 ;417,73
02/2018;381,90 ;438,36 ;437,33 ;410,84
03/2018;378,13 ;441,19 ;437,84 ;410,59
04/2018;376,58 ;440,06 ;434,80 ;409,80
05/2018;375,11 ;446,03 ;441,16 ;409,95
06/2018;373,92 ;445,58 ;451,63 ;413,73
07/2018;363,28 ;421,89 ;437,42 ;406,43
08/2018;357,93 ;417,05 ;432,81 ;395,70
09/2018;358,83 ;418,48 ;432,83 ;395,64
10/2018;372,77 ;443,69 ;446,02 ;419,69
11/2018;401,90 ;460,24 ;471,37 ;408,55
12/2018;408,71 ;466,75 ;471,44 ;403,79
01/2019;405,40 ;460,46 ;467,65 ;423,96
02/2019;425,00 ;464,47 ;482,40 ;449,54
03/2019;443,26 ;496,33 ;509,11 ;475,84
04/2019;456,91 ;515,58 ;522,05 ;498,54
05/2019;424,85 ;492,93 ;507,07 ;484,84
06/2019;429,30 ;498,67 ;501,68 ;485,34
07/2019;415,03 ;479,28 ;493,16 ;466,93
08/2019;401,14 ;462,24 ;481,44 ;441,50
09/2019;390,93 ;458,21 ;473,85 ;429,06
10/2019;391,85 ;462,57 ;473,59 ;428,25
11/2019;393,58 ;455,37 ;465,81 ;462,06
12/2019;444,91 ;516,91 ;506,50 ;499,23
01/2020;456,35 ;507,13 ;517,51 ;492,20
02/2020;459,10 ;505,55 ;519,76 ;480,03
03/2020;461,28 ;533,65 ;518,50 ;504,78
04/2020;484,55 ;544,34 ;556,25 ;537,89
05/2020;484,02 ;558,81 ;556,36 ;536,73
06/2020;475,19 ;512,84 ;547,03 ;500,01
07/2020;465,06 ;505,72 ;524,74 ;484,80
08/2020;478,07 ;529,76 ;539,95 ;509,45
09/2020;491,62 ;563,75 ;563,35 ;539,36
10/2020;516,82 ;592,25 ;595,87 ;552,85
11/2020;552,37 ;629,63 ;629,18 ;606,59
12/2020;568,53 ;621,09 ;631,46 ;600,28
01/2021;592,26 ;644,00 ;654,15 ;624,62
02/2021;573,53 ;629,82 ;639,47 ;609,27
03/2021;555,67 ;612,56 ;626,00 ;596,91
04/2021;565,78 ;622,04 ;632,61 ;610,98
05/2021;-;622,76 ;636,40 ;616,96
06/2021;532,01 ;619,24 ;626,76 ;611,29
07/2021;549,49 ;621,34 ;640,51 ;612,45
08/2021;562,95 ;634,18 ;650,50 ;618,96
09/2021;582,61 ;643,06 ;673,45 ;633,03
10/2021;598,79 ;673,85 ;693,79 ;670,99
11/2021;594,97 ;665,60 ;692,27 ;668,17
12/2021;605,16 ;666,26 ;690,51 ;662,01
01/2022;632,83 ;692,83 ;713,86 ;677,54
02/2022;642,01 ;697,37 ;715,65 ;682,54
03/2022;669,47 ;750,71 ;761,19 ;704,93
04/2022;693,41 ;768,42 ;803,99 ;729,31
05/2022;653,12 ;723,55 ;777,93 ;698,24
06/2022;648,77 ;733,14 ;777,01 ;692,84
07/2022;652,07 ;723,75 ;760,45 ;700,75
08/2022;638,19 ;717,82 ;749,78 ;697,39
09/2022;650,16 ;714,14 ;750,74 ;686,26
10/2022;662,37 ;736,28 ;762,20 ;707,78
11/2022;693,37 ;749,25 ;782,68 ;713,57
12/2022;696,32 ;752,74 ;791,29 ;728,78
01/2023;707,93 ;770,19 ;790,57 ;726,23
02/2023;679,86 ;745,96 ;779,38 ;709,21
03/2023;654,57 ;735,62 ;782,23 ;699,16
04/2023;668,96 ;750,77 ;794,68 ;703,90
05/2023;666,82 ;749,76 ;791,82 ;706,06
06/2023;656,02 ;741,00 ;783,05 ;691,34
07/2023;652,78 ;738,12 ;769,95 ;674,54
08/2023;646,02 ;722,78 ;748,47 ;660,88
09/2023;633,78 ;719,92 ;734,77 ;681,91
10/2023;627,72 ;721,17 ;738,13 ;675,16
11/2023;639,68 ;728,27 ;749,28 ;675,45
12/2023;656,29 ;738,61 ;761,01 ;688,86
01/2024;724,73 ;791,77 ;793,39 ;719,30
02/2024;727,46 ;832,80 ;808,38 ;731,83
Fonte;Dieese;Dieese;Dieese;Dieese
